product_id,store_id,stock_on_hand,stock_sold,reorder_level
P001,S001,93.0,47,44
P002,S001,100.0,48,25
P003,S001,101.0,38,28
P004,S001,187.0,41,34
P005,S001,54.0,9,20
P006,S001,,48,25
P007,S001,114.0,7,Thirty
P008,S001,88.0,20,20
P009,S001,194.0,31,46
P010,S001,138.0,44,25
P011,S001,64.0,26,24
P012,S001,137.0,44,30
P013,S001,197.0,33,
P014,S001,130.0,27,46
P015,S001,94.0,31,43
P016,S001,53.0,10,39
P017,S001,146.0,25,22
P018,S001,131.0,6,40
P019,S001,132.0,24,30
P020,S001,87.0,8,23
P021,S001,126.0,13,27
P022,S001,111.0,19,40
P023,S001,130.0,18,
P024,S001,127.0,29,22
P025,S001,63.0,27,23
P026,S001,123.0,36,20
P027,S001,114.0,7,46
P028,S001,126.0,28,32
P029,S001,165.0,36,44
P030,S001,109.0,23,45
P031,S001,1261.0,10,49
P032,S001,145.0,38,46
P033,S001,99.0,23,39
P034,S001,147.0,31,31
P035,S001,176.0,36,40
P036,S001,85.0,37,40
P037,S001,124.0,29,39
P038,S001,84.0,25,38
P039,S001,77.0,38,38
P040,S001,124.0,49,41
P041,S001,126.0,46,32
P042,S001,144.0,15,37
P043,S001,193.0,27,48
P044,S001,127.0,17,35
P045,S001,110.0,40,45
P046,S001,84.0,31,42
P047,S001,61.0,17,38
P048,S001,121.0,7,30
P049,S001,125.0,19,23
P050,S001,139.0,39,43
P001,S002,102.0,21,36
P002,S002,198.0,38,47
P003,S002,134.0,9,40
P004,S002,127.0,28,42
P005,S002,111.0,48,33
P006,S002,95.0,17,23
P007,S002,,45,
P008,S002,138.0,46,44
P009,S002,103.0,36,40
P010,S002,101.0,33,21
P011,S002,88.0,32,32
P012,S002,51.0,11,35
P013,S002,103.0,35,30
P014,S002,139.0,41,49
P015,S002,93.0,12,33
P016,S002,115.0,27,36
P017,S002,144.0,15,46
P018,S002,146.0,48,33
P019,S002,102.0,41,45
P020,S002,81.0,8,41
P021,S002,123.0,24,26
P022,S002,2131.0,6,40
P023,S002,190.0,48,48
P024,S002,88.0,44,42
P025,S002,114.0,34,35
P026,S002,163.0,45,32
P027,S002,146.0,44,25
P028,S002,143.0,35,28
P029,S002,126.0,47,36
P030,S002,51.0,15,26
P031,S002,71.0,44,27
