product_id,store_id,stock_on_hand,stock_sold,reorder_level
P001,S001,159.0,14,22
P002,S001,163.0,36,44
P003,S001,121.0,11,46
P004,S001,139.0,18,20
P005,S001,155.0,19,49
P006,S001,163.0,8,37
P007,S001,79.0,37,40
P008,S001,167.0,12,30
P009,S001,158.0,25,30
P010,S001,176.0,23,44
P011,S001,162.0,18,42
P012,S001,84.0,37,36
P013,S001,127.0,6,44
P014,S001,86.0,12,49
P015,S001,119.0,21,29
P016,S001,164.0,28,29
P017,S001,78.0,43,23
P018,S001,86.0,42,32
P019,S001,99.0,31,20
P020,S001,153.0,13,44
P021,S001,150.0,47,46
P022,S001,84.0,13,21
P023,S001,64.0,16,38
P024,S001,75.0,41,23
P025,S001,167.0,42,49
P026,S001,151.0,42,45
P027,S001,67.0,14,29
P028,S001,87.0,10,
P029,S001,83.0,7,43
P030,S001,166.0,48,47
P031,S001,134.0,5,33
P032,S001,92.0,45,28
P033,S001,198.0,46,25
P034,S001,102.0,46,49
P035,S001,134.0,33,29
P036,S001,,48,26
P037,S001,68.0,19,27
P038,S001,135.0,27,20
P039,S001,126.0,36,31
P040,S001,150.0,7,26
P041,S001,153.0,40,40
P042,S001,105.0,10,49
P043,S001,130.0,23,25
P044,S001,89.0,33,44
P045,S001,137.0,26,40
P046,S001,150.0,40,48
P047,S001,169.0,11,41
P048,S001,106.0,7,33
P049,S001,159.0,49,48
P050,S001,93.0,47,26
P001,S002,59.0,25,32
P002,S002,145.0,13,49
P003,S002,89.0,11,35
P004,S002,65.0,24,36
P005,S002,174.0,44,42
P006,S002,66.0,7,33
P007,S002,176.0,6,43
P008,S002,,36,21
P009,S002,152.0,22,46
P010,S002,127.0,40,24
P011,S002,127.0,35,
P012,S002,142.0,27,42
P013,S002,136.0,48,23
P014,S002,80.0,40,39
P015,S002,187.0,46,32
P016,S002,44.0,5,23
P017,S002,118.0,-9,22
P018,S002,66.0,13,40
P019,S002,160.0,5,29
P020,S002,188.0,48,46
P021,S002,78.0,36,40
P022,S002,162.0,45,33
P023,S002,100.0,30,35
P024,S002,153.0,49,23
P025,S002,188.0,5,40
P026,S002,94.0,47,47
P027,S002,96.0,37,44
P028,S002,88.0,7,38
P029,S002,57.0,27,20
P030,S002,153.0,28,37
P031,S002,173.0,41,40
P032,S002,68.0,41,20
P033,S002,88.0,24,49
P034,S002,174.0,46,31
P035,S002,160.0,6,47
P036,S002,106.0,35,26
P037,S002,173.0,10,39
P038,S002,136.0,21,44
P039,S002,177.0,33,30
P040,S002,123.0,43,20
P041,S002,116.0,17,48
P042,S002,72.0,20,39
P043,S002,87.0,31,36
P044,S002,139.0,41,21
P045,S002,151.0,6,27
P046,S002,125.0,39,30
P047,S002,183.0,43,43
P048,S002,91.0,40,46
P049,S002,86.0,13,27
P050,S002,88.0,48,27
P001,S003,185.0,48,28
P002,S003,181.0,36,30
P003,S003,79.0,12,39
P004,S003,90.0,45,43
P005,S003,115.0,43,45
P006,S003,179.0,49,24
P007,S003,118.0,43,29
P008,S003,65.0,9,38
P009,S003,85.0,14,44
P010,S003,107.0,28,27
P011,S003,93.0,43,38
P012,S003,110.0,29,27
P013,S003,66.0,13,36
P014,S003,85.0,7,44
P015,S003,155.0,47,45
P016,S003,131.0,36,32
P017,S003,122.0,5,36
P018,S003,137.0,24,47
P019,S003,105.0,10,29
P020,S003,130.0,7,34
P021,S003,170.0,27,47
P022,S003,142.0,20,48
P023,S003,137.0,30,36
P024,S003,148.0,42,37
P025,S003,155.0,15,42
P026,S003,124.0,15,34
P027,S003,,9,39
P028,S003,55.0,8,45
P029,S003,146.0,38,Thirty
P030,S003,116.0,29,30
P031,S003,144.0,30,45
P032,S003,197.0,31,29
P033,S003,95.0,44,42
P034,S003,,13,39
P035,S003,100.0,23,45
P036,S003,181.0,10,44
P037,S003,146.0,12,47
P038,S003,193.0,23,27
P039,S003,182.0,32,42
P040,S003,74.0,23,36
P041,S003,162.0,45,
P042,S003,73.0,12,34
P043,S003,70.0,18,25
P044,S003,168.0,20,31
P045,S003,128.0,43,45
P046,S003,188.0,39,45
P047,S003,51.0,19,24
P048,S003,67.0,6,27
P049,S003,163.0,25,28
P050,S003,131.0,44,28
P001,S004,93.0,15,44
P002,S004,88.0,38,38
P003,S004,118.0,16,41
P004,S004,173.0,11,40
P005,S004,173.0,10,24
P006,S004,148.0,19,41
P007,S004,141.0,33,20
P008,S004,137.0,24,32
P009,S004,184.0,20,26
P010,S004,174.0,13,46
P011,S004,168.0,35,41
P012,S004,60.0,-8,24
P013,S004,117.0,44,44
P014,S004,140.0,40,25
P015,S004,177.0,47,40
P016,S004,158.0,27,26
P017,S004,184.0,37,28
P018,S004,74.0,29,39
P019,S004,150.0,20,38
P020,S004,192.0,36,27
P021,S004,171.0,18,36
P022,S004,140.0,28,36
P023,S004,81.0,32,33
P024,S004,118.0,25,42
P025,S004,79.0,48,25
P026,S004,97.0,12,27
P027,S004,104.0,21,25
P028,S004,109.0,33,34
P029,S004,154.0,36,33
P030,S004,120.0,30,35
P031,S004,157.0,35,35
P032,S004,52.0,23,29
P033,S004,181.0,7,24
P034,S004,100.0,11,27
P035,S004,185.0,34,
P036,S004,107.0,11,36
P037,S004,144.0,29,20
P038,S004,83.0,24,43
P039,S004,86.0,33,39
P040,S004,107.0,45,30
P041,S004,131.0,5,24
P042,S004,148.0,42,Thirty
P043,S004,165.0,39,Thirty
P044,S004,168.0,46,23
P045,S004,135.0,13,37
P046,S004,188.0,21,49
P047,S004,135.0,16,24
P048,S004,101.0,43,40
P049,S004,191.0,23,44
P050,S004,85.0,22,38
P001,S005,80.0,18,33
P002,S005,130.0,39,21
P003,S005,137.0,41,24
P004,S005,53.0,6,34
P005,S005,121.0,34,45
P006,S005,44.0,12,30
P007,S005,133.0,11,43
P008,S005,108.0,33,
P009,S005,178.0,10,35
P010,S005,79.0,28,26
P011,S005,171.0,22,28
P012,S005,77.0,44,20
P013,S005,82.0,43,22
P014,S005,165.0,-8,28
P015,S005,95.0,18,28
P016,S005,181.0,23,26
P017,S005,154.0,13,35
P018,S005,149.0,39,28
P019,S005,48.0,17,21
P020,S005,167.0,7,21
P021,S005,138.0,15,40
P022,S005,181.0,28,38
P023,S005,96.0,16,26
P024,S005,71.0,12,48
P025,S005,111.0,23,29
P026,S005,157.0,38,49
P027,S005,150.0,42,24
P028,S005,194.0,35,32
P029,S005,120.0,42,32
P030,S005,143.0,32,24
P031,S005,177.0,34,39
P032,S005,134.0,35,28
P033,S005,178.0,17,29
P034,S005,149.0,40,28
P035,S005,45.0,8,30
P036,S005,151.0,13,44
P037,S005,185.0,39,28
P038,S005,132.0,30,23
P039,S005,157.0,48,20
P040,S005,171.0,29,37
P041,S005,53.0,17,30
P042,S005,104.0,35,
P043,S005,,45,45
P044,S005,142.0,19,31
P045,S005,1200.0,9,30
P046,S005,98.0,27,28
P047,S005,72.0,30,24
P048,S005,194.0,43,38
P049,S005,89.0,14,35
P050,S005,183.0,16,34
