store_id,product_id,customer_id,quantity,price,discount,sale_date
S001,P0041,442,3,58.09,0.0,2025-03-24
S002,P0050,564,4,83.71,0.0,2025-03-30
S005,P0040,522,1,24.54,0.0,2025-03-28
S002,P0029,535,5,80.75,0.1,2025-03-25
S002,P0050,596,4,37.33,0.0,2025-03-29
S002,P0005,463,3,66.26,0.05,2025-03-26
S005,P0042,444,5,50.23,0.0,2025-03-29
S001,P0050,556,2,36.39,0.05,2025-03-23
S002,P0004,494,2,41.02,0.0,2025-03-30
S001,P0038,431,5,86.68,0.0,2025-03-30
S002,P0014,427,5,68.28,0.05,2025-03-30
S002,P0001,490,1,47.88,0.05,2025-03-31
S004,P0017,504,4,4.07,0.05,2025-03-24
S003,P0039,484,3,62.1,0.0,2025-03-26
S004,P0017,509,3,85.32,0.0,2025-03-30
S003,P0031,450,2,83.97,0.0,2025-03-26
S003,P0004,548,2,69.26,0.25,2025-03-24
S001,P0019,547,4,36.67,0.05,2025-03-28
S002,P0031,532,3,50.87,0.05,2025-03-22
S003,P0042,435,3,68.56,0.05,2025-03-27
S005,P0031,484,2,58.99,0.0,2025-03-28
S001,P0029,519,3,98.18,0.0,2025-03-23
S001,P0007,523,3,1703.290342891583,0.0,2025-03-22
S002,P0028,563,3,31.4,0.0,2025-03-31
S001,P0029,488,3,77.34,0.05,2025-03-27
S001,P0009,596,4,1958.3131873764091,,2025-03-31
S001,P0029,596,5,38.4,0.2,2025-03-22
S004,P0047,458,4,8.78,0.1,2025-03-28
S005,P0047,599,4,38.54,0.0,2025-03-22
S001,P0038,548,4,44.54,0.1,2025-03-22
S002,P0005,434,3,32.89,0.15,2025-03-25
S001,P0006,518,3,26.95,0.2,2025-03-28
S005,P0036,469,2,13.86,0.2,2025-03-23
S002,P0047,527,5,76.42,0.0,2025-03-28
S004,P0019,477,4,17.97,0.0,2025-03-27
S002,P0042,509,2,71.29,0.0,2025-03-31
S004,P0024,524,4,93.68,0.05,2025-03-25
S002,P0036,485,1,5.16,0.0,2025-03-24
S002,P0023,578,3,31.59,0.0,2025-03-23
S004,P0034,534,2,37.19,0.05,2025-03-27
S001,P0019,463,3,86.94,0.25,2025-03-28
S003,P0040,536,4,77.53,0.0,2025-03-28
S005,P0040,466,5,37.11,0.0,2025-03-31
S005,P0020,426,3,27.12,0.05,2025-03-31
S004,P0033,481,3,86.38,0.0,2025-03-23
S001,P0046,527,5,99.24,0.0,2025-03-23
S005,P0036,466,2,71.83,0.0,2025-03-29
S001,P0017,502,2,40.95,0.1,2025-03-23
S001,P0047,494,1,67.25,0.2,2025-03-27
S002,P0028,526,5,26.17,0.1,2025-03-22
S004,P0050,597,2,24.05,0.1,2025-03-24
S002,P0034,491,4,10.32,0.0,2025-03-31
S002,P0028,434,4,75.6,0.0,2025-03-26
S004,P0019,490,3,40.96,0.1,2025-03-23
S002,P0034,549,1,36.96,0.2,2025-03-30
S004,P0030,503,1,13.33,0.05,2025-03-25
S005,P0031,551,2,2.5,0.0,2025-03-24
S002,P0050,600,3,83.18,0.05,2025-03-29
S002,P0001,562,1,22.16,0.0,2025-03-26
S001,P0048,434,3,31.55,,2025-03-22
S005,P0041,590,2,70.21,0.05,2025-03-25
S004,P0031,490,2,68.94,0.1,2025-03-29
S005,P0024,582,1,88.28,0.1,2025-03-28
S001,P0044,444,2,49.98,0.0,2025-03-26
S005,P0014,490,2,89.93,0.05,2025-03-28
S005,P0007,469,3,82.99,0.15,2025-03-22
S002,P0049,475,2,77.68,0.0,2025-03-26
S005,P0049,561,3,3.15,0.05,2025-03-29
S001,P0017,599,2,48.61,0.15,2025-03-26
S005,P0028,494,4,42.88,0.0,2025-03-26
S002,P0033,580,2,62.93,,2025-03-28
S001,P0046,430,3,29.31,0.05,2025-03-31
S004,P0036,528,error,40.06,0.15,2025-03-31
S004,P0045,440,2,42.72,0.05,2025-03-29
S002,P0032,456,5,83.37,0.05,2025-03-29
S003,P0048,587,2,56.11,0.05,2025-03-23
S002,P0018,460,3,30.06,0.15,2025-03-28
S002,P0029,498,2,40.58,0.0,2025-03-23
S002,P0046,486,5,63.5,0.0,2025-03-22
S004,P0005,505,2,70.66,0.05,2025-03-26
S001,P0048,433,3,18.95,0.15,2025-03-29
S001,P0009,500,4,50.9,0.0,2025-03-22
S004,P0021,494,3,12.5,0.05,2025-03-25
S005,P0044,509,1,92.63,0.0,2025-03-23
S001,P0006,468,2,58.73,0.0,2025-03-25
S002,P0030,472,2,90.18,0.15,2025-03-31
S004,P0044,533,2,41.31,0.05,2025-03-28
S002,P0034,483,error,75.03,0.2,2025-03-26
S003,P0019,449,3,73.92,0.15,2025-03-28
S001,P0002,454,4,88.68,0.0,2025-03-30
S004,P0032,546,3,69.02,0.0,2025-03-27
S003,P0049,582,5,70.63,0.0,2025-03-31
S001,P0029,504,2,71.0,0.05,2025-03-29
S002,P0043,550,4,32.49,0.0,2025-03-29
S004,P0044,583,2,7.25,0.0,2025-03-26
S001,P0035,462,3,28.97,0.0,2025-03-22
S003,P0041,477,2,48.64,0.05,2025-03-27
S001,P0036,488,5,49.52,0.1,2025-03-26
S005,P0001,516,3,89.99,0.0,2025-03-23
S003,P0023,443,3,31.28,0.15,2025-03-23
S001,P0043,492,2,19.19,0.2,2025-03-29
S005,P0041,439,4,65.99,0.0,2025-03-31
S002,P0050,521,2,72.14,0.0,2025-03-22
S004,P0035,444,2,99.3,0.1,2025-03-27
S003,P0034,435,1,1101.4063197826567,0.0,2025-03-22
S002,P0006,431,5,97.29,0.0,2025-03-31
S004,P0021,478,3,9.96,0.0,2025-03-27
S005,P0050,449,3,56.63,0.0,2025-03-29
S001,P0038,517,2,97.37,0.1,2025-03-22
S002,P0030,444,4,44.78,0.0,2025-03-29
S001,P0007,567,4,16.15,0.15,2025-03-30
S003,P0038,464,1,73.22,0.0,2025-03-28
S002,P0032,525,3,11.54,0.0,2025-03-30
S005,P0041,584,4,97.14,0.15,2025-03-25
S005,P0049,438,error,51.9,0.2,2025-03-25
S002,P0016,574,2,84.93,0.2,2025-03-30
S003,P0047,444,3,20.44,0.05,2025-03-22
S005,P0043,561,3,26.55,0.2,2025-03-25
S004,P0038,463,3,24.66,0.0,2025-03-22
S005,P0045,502,3,88.9,0.0,2025-03-23
S005,P0044,484,1,15.77,0.0,2025-03-29
S001,P0044,470,4,25.56,0.1,2025-03-27
S003,P0004,598,5,24.77,0.15,2025-03-28
S003,P0032,597,2,64.27,0.1,2025-03-22
S005,P0047,540,3,18.26,0.0,2025-03-24
S001,P0018,578,1,51.44,0.15,2025-03-24
S005,P0047,435,3,26.78,0.0,2025-03-31
S001,P0018,584,2,89.46,0.05,2025-03-30
S002,P0029,589,2,24.56,0.25,2025-03-24
S001,P0042,599,3,10.92,0.0,2025-03-23
S002,P0028,491,1,4.44,,2025-03-25
S004,P0001,547,1,81.89,0.0,2025-03-24
S001,P0025,485,3,80.79,0.0,2025-03-29
S005,P0040,475,2,94.7,0.0,2025-03-23
S002,P0047,597,2,20.68,0.0,2025-03-26
S003,P0049,535,1,78.5,0.0,2025-03-22
S005,P0046,574,4,3.39,0.0,2025-03-29
S004,P0022,502,2,12.4,0.1,2025-03-28
S001,P0020,428,4,82.83,,2025-03-25
S002,P0046,557,3,95.63,0.05,2025-03-22
S003,P0035,435,4,20.45,0.1,2025-03-24
S001,P0016,444,4,32.46,0.2,2025-03-24
S005,P0042,579,4,78.4,0.05,2025-03-25
S002,P0046,543,3,84.59,,2025-03-28
S001,P0015,488,3,33.43,0.05,2025-03-25
S002,P0034,575,1,87.51,0.1,2025-03-26
S001,P0007,433,4,48.51,0.2,2025-03-28
S001,P0019,573,4,1823.4412832709568,,2025-03-30
S005,P0042,463,3,87.56,0.05,2025-03-27
S004,P0050,580,2,4.21,0.0,2025-03-27
S004,P0019,440,4,21.15,0.05,2025-03-27
S001,P0019,584,3,78.15,0.15,2025-03-30
S003,P0020,451,3,59.96,0.0,2025-03-29
S004,P0044,502,4,1384.8514431389183,0.05,2025-03-22
S002,P0017,556,2,35.15,0.05,2025-03-29
S002,P0048,427,4,1.13,0.0,2025-03-23
S005,P0050,451,3,23.12,0.0,2025-03-25
S001,P0045,457,3,20.12,0.0,2025-03-27
S005,P0030,499,error,54.9,0.05,2025-03-25
S003,P0030,580,4,7.76,0.0,2025-03-27
S001,P0003,547,2,42.31,0.0,2025-03-28
S003,P0048,569,2,70.75,0.05,2025-03-27
S001,P0048,544,5,34.96,0.2,2025-03-31
S005,P0035,457,3,25.69,0.0,2025-03-22
S002,P0046,498,5,68.29,0.05,2025-03-23
S001,P0025,502,2,50.31,0.0,2025-03-25
S002,P0045,546,3,25.78,0.05,2025-03-29
S002,P0001,452,1,94.37,0.1,2025-03-29
S005,P0002,488,5,22.28,0.0,2025-03-30
S002,P0039,490,2,8.12,0.1,2025-03-27
S001,P0025,487,2,44.77,0.05,2025-03-27
S005,P0032,585,3,51.73,0.0,2025-03-28
S001,P0030,568,3,6.32,0.0,2025-03-27
S003,P0019,536,4,36.06,0.15,2025-03-29
S002,P0041,514,2,7.38,0.0,2025-03-26
S003,P0047,474,3,54.39,0.15,2025-03-30
S001,P0020,596,3,44.33,0.1,2025-03-23
S002,P0048,483,2,51.3,0.0,2025-03-27
S004,P0030,493,3,32.9,0.1,2025-03-27
S005,P0039,597,2,90.79,0.05,2025-03-24
S003,P0041,600,3,99.27,0.0,2025-03-22
S001,P0043,456,2,84.93,0.1,2025-03-29
S004,P0032,466,3,85.63,0.2,2025-03-26
S005,P0026,439,3,25.84,0.0,2025-03-25
S005,P0029,522,4,15.6,0.05,2025-03-27
S004,P0040,448,2,68.75,0.1,2025-03-27
S001,P0044,536,4,39.68,0.0,2025-03-22
S002,P0032,427,2,70.03,0.0,2025-03-31
S002,P0048,514,1,94.76,0.0,2025-03-22
S001,P0042,577,5,72.78,0.05,2025-03-26
S003,P0044,432,1,43.47,0.15,2025-03-31
S005,P0048,529,3,33.83,0.05,2025-03-31
S004,P0023,538,3,24.77,0.1,2025-03-22
S005,P0031,439,3,65.73,0.1,2025-03-23
S002,P0026,457,4,52.89,0.15,2025-03-26
S004,P0038,501,3,34.03,0.0,2025-03-26
S005,P0027,568,2,74.26,0.0,2025-03-22
S003,P0043,563,4,85.4,0.05,2025-03-22
S004,P0039,492,2,20.89,0.0,2025-03-29
S004,P0021,439,5,50.35,0.0,2025-03-25
S004,P0019,585,5,8.91,0.1,2025-03-25
S001,P0004,567,4,79.95,0.15,2025-03-22
S002,P0048,465,2,95.3,0.15,2025-03-29
S001,P0013,566,3,90.9,0.15,2025-03-27
S005,P0042,576,4,9.88,0.05,2025-03-24
S002,P0035,560,2,19.27,0.05,2025-03-30
S003,P0031,566,3,33.84,0.05,2025-03-29
S001,P0042,588,4,71.29,0.0,2025-03-23
S005,P0032,515,5,1457.5314159328414,0.1,2025-03-25
S003,P0014,497,5,84.1,0.1,2025-03-29
S001,P0043,565,4,11.06,0.05,2025-03-23
S005,P0036,434,2,1206.3156904819689,0.15,2025-03-27
S005,P0029,583,2,10.28,0.0,2025-03-26
S003,P0029,565,2,26.02,0.0,2025-03-30
S003,P0016,570,2,58.7,0.05,2025-03-26
S002,P0032,445,1,16.69,0.0,2025-03-26
S002,P0014,499,4,53.79,0.05,2025-03-23
S002,P0048,495,3,88.17,0.1,2025-03-24
S005,P0028,454,4,97.31,0.0,2025-03-31
S002,P0007,519,3,20.48,0.25,2025-03-25
S003,P0038,591,2,12.66,0.0,2025-03-23
S001,P0028,473,3,3.34,0.0,2025-03-31
S001,P0038,449,2,72.37,0.05,2025-03-31
S003,P0002,571,2,26.76,0.15,2025-03-23
S002,P0015,566,3,17.21,0.0,2025-03-24
S003,P0044,430,2,52.86,0.05,2025-03-22
S004,P0031,511,3,15.66,0.1,2025-03-29
S002,P0031,451,1,56.27,0.05,2025-03-29
S005,P0021,511,2,73.1,0.0,2025-03-29
S001,P0029,589,3,70.3,0.15,2025-03-28
S005,P0028,588,2,39.97,0.0,2025-03-31
S002,P0028,551,1,54.06,0.05,2025-03-24
S001,P0041,440,2,15.93,0.1,2025-03-22
S005,P0042,480,4,98.74,0.0,2025-03-30
S001,P0024,580,5,73.62,0.0,2025-03-23
S004,P0050,546,2,45.15,0.0,2025-03-24
S004,P0039,471,5,92.56,0.0,2025-03-31
S002,P0050,485,2,77.91,0.0,2025-03-22
S001,P0026,456,2,74.68,0.05,2025-03-23
S002,P0032,566,2,86.13,0.05,2025-03-25
S001,P0045,592,3,98.42,0.2,2025-03-23
S002,P0023,509,2,75.08,0.1,2025-03-30
S002,P0023,579,4,91.25,0.1,2025-03-26
S002,P0046,559,3,48.9,0.1,2025-03-29
S005,P0033,556,3,5.12,0.0,2025-03-24
S002,P0007,467,2,12.19,0.05,2025-03-27
S005,P0030,441,2,44.46,0.2,2025-03-27
S005,P0049,519,3,50.33,0.0,2025-03-31
S001,P0041,561,5,80.77,0.05,2025-03-22
S005,P0027,589,3,93.25,0.05,2025-03-31
S003,P0023,490,2,59.59,0.0,2025-03-25
S002,P0017,553,2,91.19,0.1,2025-03-24
S003,P0029,455,4,1605.8475068107698,0.05,2025-03-23
S004,P0049,560,5,24.8,0.05,2025-03-29
S005,P0050,596,3,15.5,0.0,2025-03-31
S003,P0006,539,2,38.21,0.0,2025-03-30
S001,P0042,464,1,37.84,0.0,2025-03-29
S005,P0044,516,1,26.62,0.0,2025-03-26
S004,P0021,547,2,13.98,0.1,2025-03-27
S001,P0028,434,5,4.77,0.05,2025-03-31
S003,P0049,462,2,13.5,0.0,2025-03-28
S005,P0003,457,3,12.6,,2025-03-22
S002,P0010,593,2,95.65,0.05,2025-03-23
S003,P0024,594,4,94.48,0.0,2025-03-29
S001,P0003,596,1,97.99,0.0,2025-03-23
S005,P0022,584,3,43.95,,2025-03-24
S005,P0025,546,3,76.01,0.05,2025-03-28
S005,P0039,496,2,58.05,0.2,2025-03-27
S004,P0003,494,1,27.7,0.2,2025-03-22
S005,P0029,428,3,50.69,0.0,2025-03-30
S001,P0037,431,3,48.74,0.05,2025-03-31
S005,P0027,555,2,51.86,0.0,2025-03-30
S003,P0033,569,3,16.88,0.0,2025-03-24
S003,P0039,537,3,85.2,0.05,2025-03-22
S005,P0036,495,4,39.59,,2025-03-22
S002,P0008,447,4,89.69,0.0,2025-03-27
S001,P0043,577,5,7.87,0.0,2025-03-29
S005,P0037,531,3,67.98,0.2,2025-03-30
S001,P0030,512,4,20.18,0.0,2025-03-24
S003,P0042,450,2,28.57,0.05,2025-03-27
S005,P0037,433,2,70.82,0.2,2025-03-27
S005,P0022,559,2,97.23,0.2,2025-03-25
S002,P0043,472,2,54.8,0.1,2025-03-24
S005,P0042,541,4,22.77,0.05,2025-03-29
S001,P0046,553,4,36.11,0.15,2025-03-26
S005,P0012,494,3,1589.4320260016373,0.0,2025-03-24
S003,P0009,443,5,16.12,0.1,2025-03-28
S002,P0013,545,1,18.89,0.1,2025-03-25
S001,P0024,501,3,93.62,0.05,2025-03-27
S005,P0011,468,2,99.53,0.0,2025-03-28
S004,P0045,592,2,1849.7351977916344,0.15,2025-03-25
S003,P0042,557,3,17.01,0.05,2025-03-25
S003,P0018,595,3,35.36,0.2,2025-03-31
S005,P0034,541,2,21.23,0.0,2025-03-24
S005,P0045,469,2,58.76,0.0,2025-03-26
S002,P0002,483,1,18.34,,2025-03-30
S002,P0026,455,1,59.47,0.05,2025-03-30
S001,P0043,460,5,3.27,0.0,2025-03-23
S002,P0049,565,3,35.35,0.05,2025-03-24
S001,P0050,523,2,55.71,0.15,2025-03-29
S005,P0045,523,3,74.39,0.05,2025-03-27
S002,P0029,578,4,14.13,0.0,2025-03-25
S003,P0006,563,4,83.17,0.0,2025-03-28
S001,P0036,448,2,83.65,0.2,2025-03-27
S002,P0014,466,3,48.51,0.0,2025-03-23
S002,P0039,427,1,28.42,0.2,2025-03-27
S003,P0030,549,3,12.5,0.0,2025-03-27
S001,P0040,579,4,33.87,0.25,2025-03-31
S003,P0012,573,3,34.08,0.0,2025-03-27
S003,P0013,433,4,46.69,0.1,2025-03-25
S003,P0033,598,3,94.3,0.0,2025-03-28
S002,P0041,534,3,44.19,0.1,2025-03-22
S002,P0049,584,3,38.23,,2025-03-22
S004,P0049,508,1,99.13,0.1,2025-03-24
S005,P0025,445,2,56.21,0.2,2025-03-31
S001,P0028,496,2,87.18,0.1,2025-03-30
S002,P0046,441,2,1631.286428454321,0.05,2025-03-26
S005,P0041,485,3,29.04,,2025-03-22
S005,P0010,550,5,53.52,0.0,2025-03-24
S005,P0034,531,2,79.63,0.2,2025-03-22
S005,P0050,427,2,17.66,0.2,2025-03-22
S005,P0042,516,3,97.13,0.0,2025-03-28
S001,P0026,566,2,12.42,0.05,2025-03-30
S005,P0020,586,3,51.74,0.05,2025-03-28
S002,P0024,462,4,59.46,0.1,2025-03-27
S005,P0011,475,3,97.5,0.1,2025-03-30
S001,P0045,566,4,35.61,0.0,2025-03-27
S002,P0046,566,3,70.68,0.0,2025-03-30
S001,P0004,517,3,62.73,0.15,2025-03-30
S005,P0026,534,5,47.86,0.0,2025-03-24
S001,P0049,451,4,9.85,0.0,2025-03-30
S002,P0039,559,3,21.27,0.2,2025-03-29
S005,P0042,451,2,61.09,0.15,2025-03-26
S004,P0033,496,3,5.61,0.1,2025-03-29
S005,P0036,482,5,90.23,0.15,2025-03-26
S003,P0037,480,2,91.27,0.05,2025-03-25
S001,P0021,435,3,45.68,0.0,2025-03-29
S002,P0024,549,3,40.05,0.2,2025-03-22
S002,P0011,497,2,94.35,0.05,2025-03-28
S001,P0026,557,1,68.12,0.0,2025-03-29
S001,P0027,487,4,37.62,0.1,2025-03-25
S005,P0033,450,3,32.15,,2025-03-31
S001,P0016,478,5,60.12,0.15,2025-03-24
S002,P0008,516,2,73.02,0.0,2025-03-30
S003,P0038,530,2,62.99,0.0,2025-03-29
S002,P0047,588,2,50.1,0.05,2025-03-29
S002,P0022,507,2,13.12,,2025-03-24
S001,P0005,539,2,81.08,0.0,2025-03-30
S001,P0043,513,4,25.71,0.05,2025-03-22
S001,P0039,573,3,32.54,0.05,2025-03-26
S005,P0035,530,3,68.19,0.0,2025-03-29
S001,P0030,506,3,74.88,0.0,2025-03-23
S003,P0010,451,5,37.63,0.2,2025-03-28
S005,P0049,493,2,80.28,0.0,2025-03-28
S002,P0044,600,4,55.52,0.05,2025-03-30
S002,P0002,505,4,46.6,0.1,2025-03-22
S003,P0030,555,1,97.16,0.05,2025-03-24
S002,P0004,524,4,5.16,0.0,2025-03-22
S001,P0041,524,3,31.98,0.1,2025-03-29
S001,P0037,582,4,68.92,0.05,2025-03-29
S005,P0039,441,3,91.34,0.2,2025-03-28
S002,P0040,442,3,37.83,0.0,2025-03-27
S001,P0034,525,3,40.36,0.05,2025-03-25
S004,P0017,589,3,40.43,0.15,2025-03-31
S001,P0044,591,2,50.1,0.0,2025-03-24
S005,P0045,594,4,24.03,0.05,2025-03-27
S003,P0038,588,4,41.46,,2025-03-31
S003,P0030,560,3,47.51,0.05,2025-03-31
S004,P0047,437,2,63.73,0.1,2025-03-31
S002,P0015,431,3,18.72,0.0,2025-03-29
S005,P0040,574,2,48.22,0.2,2025-03-30
S004,P0002,437,1,20.91,0.0,2025-03-27
S003,P0010,487,3,24.25,0.25,2025-03-25
S002,P0031,593,2,45.7,0.0,2025-03-29
S001,P0047,453,2,95.66,0.15,2025-03-28
S005,P0043,567,1,36.78,0.1,2025-03-27
S004,P0020,477,3,98.46,0.1,2025-03-29
S004,P0016,563,3,40.08,0.0,2025-03-22
S002,P0046,495,4,4.65,0.2,2025-03-25
S003,P0049,499,2,55.63,0.05,2025-03-23
S002,P0049,584,2,98.31,0.05,2025-03-26
S001,P0015,443,4,20.27,0.05,2025-03-30
S004,P0024,500,3,39.63,0.05,2025-03-31
S005,P0026,468,2,79.53,0.05,2025-03-30
S001,P0018,471,2,48.94,0.2,2025-03-31
S005,P0026,596,5,98.99,0.0,2025-03-30
S005,P0046,535,4,59.67,0.1,2025-03-27
S001,P0022,568,3,24.6,0.0,2025-03-23
S001,P0035,566,3,39.29,0.05,2025-03-30
S001,P0013,453,3,77.12,0.1,2025-03-24
S003,P0026,460,3,53.63,0.05,2025-03-25
S002,P0025,518,4,88.19,,2025-03-26
S003,P0022,576,4,1946.053781131715,0.0,2025-03-25
S002,P0032,504,3,33.67,0.0,2025-03-29
S004,P0037,504,2,41.74,0.05,2025-03-22
S003,P0013,462,3,33.56,0.2,2025-03-27
S001,P0025,444,1,76.69,0.2,2025-03-25
S001,P0028,524,4,13.46,0.15,2025-03-25
S001,P0043,567,2,24.77,0.2,2025-03-25
S003,P0043,560,3,45.0,0.0,2025-03-26
S005,P0042,600,3,50.02,0.0,2025-03-31
S004,P0019,434,2,27.78,0.1,2025-03-26
S003,P0037,478,4,60.22,0.05,2025-03-22
S002,P0024,455,4,58.15,0.0,2025-03-27
S002,P0021,430,3,41.34,0.05,2025-03-23
S001,P0023,469,3,53.67,0.0,2025-03-22
S005,P0020,555,1,1.31,0.15,2025-03-26
S003,P0034,581,2,47.42,0.0,2025-03-29
S003,P0034,438,3,67.92,0.0,2025-03-22
S002,P0031,566,3,8.94,0.05,2025-03-25
S004,P0048,540,5,95.36,0.15,2025-03-31
S001,P0029,470,3,2.81,0.05,2025-03-24
S005,P0001,599,1,21.86,0.05,2025-03-29
S005,P0036,431,2,13.02,0.0,2025-03-29
S001,P0031,515,2,86.38,0.2,2025-03-27
S002,P0008,541,5,85.76,0.2,2025-03-22
S001,P0046,558,3,51.53,,2025-03-23
S005,P0028,547,2,65.9,0.1,2025-03-29
S005,P0024,556,5,63.76,0.1,2025-03-29
S002,P0011,463,2,32.86,0.0,2025-03-26
S002,P0034,594,3,64.58,0.05,2025-03-24
S004,P0046,559,2,79.79,0.05,2025-03-23
S003,P0020,551,5,39.54,0.2,2025-03-30
S002,P0004,484,5,78.95,0.05,2025-03-22
S002,P0049,476,3,96.85,0.05,2025-03-31
S003,P0021,540,3,93.1,0.2,2025-03-28
S002,P0015,569,2,77.49,0.05,2025-03-29
S005,P0027,485,4,54.48,0.0,2025-03-27
S003,P0027,484,2,32.88,0.0,2025-03-23
S002,P0036,431,2,45.81,0.05,2025-03-22
S001,P0002,589,4,7.6,0.0,2025-03-25
S002,P0044,515,2,6.0,0.0,2025-03-24
S002,P0030,434,3,55.85,0.0,2025-03-25
S004,P0033,485,5,70.68,0.0,2025-03-25
S002,P0047,584,5,62.05,0.0,2025-03-22
S002,P0040,505,1,12.57,0.05,2025-03-22
S005,P0005,597,3,87.36,0.0,2025-03-22
S005,P0041,587,2,78.1,0.05,2025-03-29
S005,P0049,512,3,41.89,0.05,2025-03-29
S001,P0020,542,5,93.78,0.1,2025-03-26
S005,P0050,536,2,1605.3856321071055,0.05,2025-03-30
S001,P0032,590,3,61.45,0.0,2025-03-26
S002,P0048,431,2,40.13,0.0,2025-03-31
S002,P0028,514,3,23.05,0.2,2025-03-23
S002,P0002,554,4,61.23,0.0,2025-03-27
S002,P0034,474,3,15.9,0.05,2025-03-25
S004,P0050,488,2,1661.7297507468459,0.0,2025-03-23
S005,P0005,470,2,49.92,0.0,2025-03-23
S003,P0034,585,2,23.26,0.1,2025-03-31
S005,P0005,479,2,1632.303265058955,0.1,2025-03-27
S002,P0025,550,2,34.9,0.0,2025-03-31
S004,P0047,431,4,78.68,0.05,2025-03-31
S005,P0003,448,3,21.99,0.1,2025-03-25
S001,P0008,522,4,19.8,0.1,2025-03-25
S002,P0004,587,3,43.22,0.0,2025-03-24
S004,P0031,596,4,1729.8302965420999,0.0,2025-03-29
S005,P0043,492,4,91.49,0.0,2025-03-28
S003,P0031,510,3,42.52,0.0,2025-03-27
S001,P0048,431,4,8.78,0.0,2025-03-23
S005,P0040,434,2,91.14,0.1,2025-03-30
S004,P0021,523,4,97.98,0.0,2025-03-29
S001,P0033,487,3,75.15,0.1,2025-03-27
S001,P0031,572,2,74.82,0.05,2025-03-30
S002,P0023,576,4,16.43,0.1,2025-03-25
S001,P0001,513,1,16.22,0.05,2025-03-28
S002,P0016,552,2,53.95,0.1,2025-03-23
S002,P0026,574,3,79.1,0.0,2025-03-24
S002,P0044,547,error,42.67,0.0,2025-03-25
S001,P0040,515,4,65.87,0.0,2025-03-31
S004,P0019,454,3,80.94,0.1,2025-03-31
